player_id,team,nationality,birth_date,age,height,preferred_foot,position,shirt_number,market_value,pos,positions
1414507,Nueva Chicago,,Número de Camiseta,14,D,14,,,,[],[]
1863836,Sud América,ARG,11 mar 1988,36 años,183 cm,Derecho,D,13,26K €,[],[]
1143788,Nueva Chicago,ARG,27 ene 2000,24 años,181 cm,Derecho,G,12,70K €,[],[]
895318,Nueva Chicago,ARG,5 mar 1995,29 años,184 cm,Derecho,G,1,160K €,[],[]
584698,Nueva Chicago,ARG,20 jul 1984,40 años,190 cm,Derecho,G,ARG,,[],[]
1416979,Nueva Chicago,ARG,1 ene 2003,21 años,20,ARG,21 años,20,,[],[]
1167615,Gimnasia y Esgrima Mendoza,ARG,28 may 2000,24 años,187 cm,Derecho,F,20,195K €,[],[]
951083,Gimnasia y Esgrima Mendoza,ARG,5 feb 1990,34 años,187 cm,Derecho,F,9,26K €,[],[]
988991,Gimnasia y Esgrima Mendoza,ARG,18 oct 1999,25 años,183 cm,Izquierdo,F,ARG,47K €,[],[]
848294,Gimnasia y Esgrima Mendoza,ARG,22 abr 1994,30 años,170 cm,Izquierdo,M,7,230K €,[],[]
859965,Gimnasia y Esgrima Mendoza,ARG,23 ago 1993,31 años,185 cm,Derecho,M,11,265K €,[],[]
896937,Gimnasia y Esgrima Mendoza,ARG,22 abr 1995,29 años,171 cm,Derecho,M,155,250K €,[],[]
835241,Gimnasia y Esgrima Mendoza,ARG,2 jul 1997,27 años,180 cm,Derecho,M,17,215K €,[],[]
974673,Gimnasia y Esgrima Mendoza,ARG,5 nov 1999,25 años,170 cm,Derecho,M,8,185K €,[],[]
1180584,Gimnasia y Esgrima Mendoza,ARG,2 jul 1999,25 años,167 cm,Derecho,M,19,160K €,[],[]
971170,Gimnasia y Esgrima Mendoza,ARG,5 mar 2001,23 años,171 cm,Izquierdo,M,3,145K €,[],[]
1085344,Gimnasia y Esgrima Mendoza,ARG,15 may 1999,25 años,171 cm,Izquierdo,M,10,155K €,[],[]
895231,Gimnasia y Esgrima Mendoza,ARG,4 ene 1995,29 años,173 cm,Derecho,M,5,180K €,[],[]
973521,Gimnasia y Esgrima Mendoza,ARG,10 sept 1999,25 años,170 cm,Derecho,M,16,,[],[]
992075,Gimnasia y Esgrima Mendoza,ARG,6 feb 1998,26 años,174 cm,Derecho,M,13,,[],[]
1413894,Gimnasia y Esgrima Mendoza,ARG,10 feb 2001,23 años,Derecho,M,13,ARG,,[],[]
1486040,Gimnasia y Esgrima Mendoza,ARG,27 feb 2002,22 años,168 cm,Derecho,M,16,24K €,[],[]
1597490,Gimnasia y Esgrima Mendoza,ARG,16 sept 1999,25 años,M,18,ARG,25 años,,[],[]
1194768,Gimnasia y Esgrima Mendoza,ARG,26 jun 2000,24 años,185 cm,Derecho,D,4,210K €,[],[]
914144,Gimnasia y Esgrima Mendoza,ARG,16 ago 1997,27 años,176 cm,Derecho,D,15,220K €,[],[]
1170679,Gimnasia y Esgrima Mendoza,COL,2 ene 1995,29 años,192 cm,Derecho,D,14,52K €,[],[]
898755,Gimnasia y Esgrima Mendoza,ARG,14 nov 1994,30 años,183 cm,Derecho,D,2,355K €,[],[]
1008024,Gimnasia y Esgrima Mendoza,ARG,16 abr 1999,25 años,179 cm,Derecho,D,4,105K €,[],[]
992966,Gimnasia y Esgrima Mendoza,ARG,12 mar 1996,28 años,185 cm,Derecho,D,4,260K €,[],[]
155708,Gimnasia y Esgrima Mendoza,ARG,29 ago 1994,30 años,182 cm,Izquierdo,D,6,185K €,[],[]
1465298,Gimnasia y Esgrima Mendoza,ARG,9 jul 1997,27 años,178 cm,Izquierdo,D,3,140K €,[],[]
1519361,Gimnasia y Esgrima Mendoza,,Número de Camiseta,15,D,15,,,,[],[]
871837,Gimnasia y Esgrima Mendoza,ARG,19 feb 1998,26 años,193 cm,Derecho,G,1,390K €,[],[]
994456,Gimnasia y Esgrima Mendoza,ARG,1 sept 1998,26 años,184 cm,Derecho,G,12,52K €,[],[]
1898415,Gimnasia y Esgrima Mendoza,,Número de Camiseta,10,,,,,,[],[]
1654473,Gimnasia y Esgrima Mendoza,ARG,6 abr 2001,23 años,12,ARG,23 años,12,,[],[]
288317,San Telmo,ARG,24 sept 1993,31 años,183 cm,Derecho,F,9,105K €,[],[]
1469423,San Telmo,ARG,1 nov 1998,26 años,182 cm,Derecho,F,19,26K €,[],[]
1653788,San Telmo,ARG,27 nov 2004,19 años,170 cm,Izquierdo,F,18,,[],[]
1018401,San Telmo,ARG,21 oct 1999,25 años,178 cm,Derecho,F,18,,[],[]
1182417,San Telmo,ARG,7 oct 1989,35 años,188 cm,Derecho,F,20,23K €,[],[]
