minute,value,event_id
22.0,-7,11972416
23.0,4,11972416
24.0,6,11972416
25.0,4,11972416
26.0,2,11972416
27.0,1,11972416
28.0,1,11972416
29.0,-1,11972416
30.0,-1,11972416
31.0,-46,11972416
32.0,-37,11972416
33.0,-67,11972416
34.0,-34,11972416
35.0,-20,11972416
36.0,21,11972416
37.0,9,11972416
38.0,10,11972416
39.0,1,11972416
40.0,-5,11972416
41.0,-54,11972416
42.0,-31,11972416
43.0,-13,11972416
44.0,-12,11972416
45.0,-17,11972416
45.5,-30,11972416
46.0,26,11972416
47.0,-35,11972416
48.0,-12,11972416
49.0,-2,11972416
50.0,6,11972416
51.0,-30,11972416
52.0,-15,11972416
53.0,-4,11972416
54.0,-8,11972416
55.0,-11,11972416
56.0,-69,11972416
57.0,-42,11972416
58.0,-31,11972416
59.0,-100,11972416
60.0,-61,11972416
61.0,-27,11972416
62.0,-16,11972416
63.0,46,11972416
64.0,100,11972416
65.0,57,11972416
66.0,49,11972416
67.0,30,11972416
68.0,20,11972416
69.0,12,11972416
70.0,14,11972416
71.0,18,11972416
72.0,2,11972416
73.0,-15,11972416
74.0,-9,11972416
75.0,-5,11972416
76.0,-9,11972416
77.0,-4,11972416
78.0,-56,11972416
79.0,-33,11972416
80.0,-20,11972416
81.0,31,11972416
82.0,12,11972416
83.0,2,11972416
84.0,32,11972416
85.0,-40,11972416
86.0,-80,11972416
87.0,-53,11972416
88.0,-31,11972416
89.0,-46,11972416
90.0,35,11972416
90.5,40,11972416
1.0,8,11972408
2.0,8,11972408
3.0,-21,11972408
4.0,-6,11972408
5.0,-4,11972408
6.0,65,11972408
7.0,46,11972408
8.0,39,11972408
9.0,27,11972408
10.0,16,11972408
11.0,14,11972408
12.0,8,11972408
13.0,9,11972408
14.0,15,11972408
15.0,34,11972408
16.0,29,11972408
17.0,17,11972408
18.0,9,11972408
19.0,-6,11972408
20.0,-4,11972408
21.0,-4,11972408
22.0,30,11972408
23.0,22,11972408
24.0,18,11972408
25.0,51,11972408
26.0,36,11972408
27.0,25,11972408
28.0,90,11972408
29.0,98,11972408
30.0,66,11972408
31.0,45,11972408
32.0,32,11972408
33.0,-30,11972408
34.0,-29,11972408
35.0,-18,11972408
36.0,-2,11972408
37.0,5,11972408
38.0,9,11972408
39.0,-21,11972408
40.0,40,11972408
41.0,23,11972408
42.0,18,11972408
43.0,20,11972408
44.0,18,11972408
45.0,52,11972408
45.5,65,11972408
46.0,-56,11972408
47.0,35,11972408
48.0,31,11972408
49.0,23,11972408
50.0,64,11972408
51.0,100,11972408
52.0,94,11972408
53.0,54,11972408
54.0,36,11972408
55.0,23,11972408
56.0,16,11972408
57.0,100,11972408
58.0,100,11972408
59.0,79,11972408
60.0,61,11972408
61.0,75,11972408
62.0,51,11972408
63.0,63,11972408
64.0,71,11972408
65.0,47,11972408
66.0,30,11972408
67.0,17,11972408
68.0,18,11972408
69.0,13,11972408
70.0,43,11972408
71.0,25,11972408
72.0,15,11972408
73.0,13,11972408
74.0,18,11972408
75.0,13,11972408
76.0,-45,11972408
77.0,-23,11972408
78.0,-4,11972408
79.0,30,11972408
80.0,26,11972408
81.0,34,11972408
82.0,25,11972408
83.0,19,11972408
84.0,9,11972408
85.0,5,11972408
86.0,2,11972408
87.0,5,11972408
88.0,38,11972408
89.0,27,11972408
90.0,-71,11972408
90.5,-65,11972408
1.0,-10,11972407
2.0,-7,11972407
3.0,6,11972407
4.0,35,11972407
5.0,23,11972407
6.0,15,11972407
7.0,12,11972407
8.0,20,11972407
